,page,name,description,old_price,original_price,stars
156,9,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
157,9,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
158,9,"Home in Banepa, Nepal",Entire house with all amenities and hill views,73.0,73.0,5.0
159,9,"Cottage in Habarana, Sri Lanka",Far Cry Kumbukkalli Forest Retreat,105.0,105.0,4.8
160,9,"Apartment in Islamabad, Pakistan",Flamingo Grand Apartments,77.0,85.0,5.0
161,9,"Private room in Mawlynnong, India",Roberts homestay Mawlynnong,18.0,18.0,4.7
162,10,"Private room in Sosan, India",Lost&Found Galactic Friends' House,13.0,13.0,4.82
163,10,"Apartment in Panaji, India",Lavish Sea View Apartment!!,129.0,129.0,4.82
164,10,"Earthen home in Auroville, India","Lotus Studio in Skandavan's garden, Edayanchavadi",39.0,39.0,4.81
165,10,"Home in Jaipur, India","(Entire floor) The Haveli, A Home Stay C scheme",84.0,120.0,4.61
166,10,"Villa in Galle, Sri Lanka",Rose Villa paradise on the ocean.,201.0,201.0,4.84
167,10,"Hotel room in Jodhpur, India",SADAR HAVELI HERITAGE,22.0,22.0,4.63
168,10,"Bungalow in Kochi, India",Verdant Heritage Bungalow  (Entire Upper Floor),50.0,50.0,4.93
169,10,"Private room in Pathau, India",Glamping on Neer Waterfalls .,44.0,44.0,No Review
170,10,"Dome in Kamshet, India",Ethereal Dome w/ Private Plunge Pool & 3 Meals,59.0,59.0,4.89
171,10,"Farm stay in Bengaluru Urban, India",Luxury farmhouse in Bangalore,190.0,190.0,4.77
172,10,"Private room in Karnataka, India",Vanandhaara Coorg I Homestay | Pool Villa 1,89.0,89.0,4.92
173,10,"Private room in Gurugram, India",Reebah Inn & Suites - 3,16.0,16.0,4.62
174,10,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
175,10,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
